,target
0,-353.1521851846363
1,-353.1521851846363
2,-353.1521851846363
3,-353.1521851846363
4,-353.1521851846363
5,-353.1521851846363
6,-353.1521851846363
7,-353.1521851846363
8,-353.1521851846363
9,-353.1521851846363
10,-353.1521851846363
11,-353.1521851846363
12,-353.1521851846363
13,-353.1521851846363
14,-353.1521851846363
15,-353.1521851846363
16,-353.1521851846363
17,-353.1521851846363
18,-353.1521851846363
19,-353.1521851846363
20,-353.1521851846363
21,-353.1521851846363
22,-353.1521851846363
23,-353.1521851846363
24,-353.1521851846363
25,-353.1521851846363
26,-353.1521851846363
27,-353.1521851846363
28,-353.1521851846363
29,-353.1521851846363
30,-353.1521851846363
31,-353.1521851846363
32,-353.1521851846363
33,-353.1521851846363
34,-353.1521851846363
35,-353.1521851846363
36,-353.1521851846363
37,-353.1521851846363
38,-353.1521851846363
39,-353.1521851846363
40,-353.1521851846363
41,-353.1521851846363
42,-353.1521851846363
43,-353.1521851846363
44,-353.1521851846363
45,-353.1521851846363
46,-353.1521851846363
47,-353.1521851846363
48,-353.1521851846363
49,-353.1521851846363
50,-353.1521851846363
51,-353.1521851846363
52,-353.1521851846363
53,-353.1521851846363
54,-353.1521851846363
55,-353.1521851846363
56,-353.1521851846363
57,-353.1521851846363
58,-353.1521851846363
59,-353.1521851846363
60,-353.1521851846363
61,-353.1521851846363
62,-353.1521851846363
63,-353.1521851846363
64,-353.1521851846363
65,-353.1521851846363
66,-353.1521851846363
67,-353.1521851846363
68,-353.1521851846363
69,-353.1521851846363
70,-353.1521851846363
71,-353.1521851846363
72,-353.1521851846363
73,-353.1521851846363
74,-353.1521851846363
75,-353.1521851846363
76,-353.1521851846363
77,-353.1521851846363
78,-353.1521851846363
79,-353.1521851846363
80,-353.1521851846363
81,-353.1521851846363
82,-353.1521851846363
83,-353.1521851846363
84,-353.1521851846363
85,-353.1521851846363
86,-353.1521851846363
87,-353.1521851846363
88,-353.1521851846363
89,-353.1521851846363
90,-353.1521851846363
91,-353.1521851846363
92,-353.1521851846363
93,-353.1521851846363
94,-353.1521851846363
95,-353.1521851846363
96,-353.1521851846363
97,-353.1521851846363
98,-353.1521851846363
99,-353.1521851846363
100,-353.1521851846363
101,-353.1521851846363
102,-353.1521851846363
103,-353.1521851846363
104,-353.1521851846363
105,-353.1521851846363
106,-353.1521851846363
107,-353.1521851846363
108,-353.1521851846363
109,-353.1521851846363
110,-353.1521851846363
111,-353.1521851846363
112,-353.1521851846363
113,-353.1521851846363
114,-353.1521851846363
115,-353.1521851846363
116,-353.1521851846363
117,-353.1521851846363
118,-353.1521851846363
119,-353.1521851846363
120,-353.1521851846363
121,-353.1521851846363
122,-353.1521851846363
123,-353.1521851846363
124,-353.1521851846363
125,-353.1521851846363
126,-353.1521851846363
127,-353.1521851846363
128,-353.1521851846363
129,-353.1521851846363
130,-353.1521851846363
131,-353.1521851846363
132,-353.1521851846363
133,-353.1521851846363
134,-353.1521851846363
135,-353.1521851846363
136,-353.1521851846363
137,-353.1521851846363
138,-353.1521851846363
139,-353.1521851846363
140,-353.1521851846363
141,-353.1521851846363
142,-353.1521851846363
143,-353.1521851846363
144,-353.1521851846363
145,-353.1521851846363
146,-353.1521851846363
147,-353.1521851846363
148,-353.1521851846363
149,-353.1521851846363
150,-353.1521851846363
151,-353.1521851846363
152,-353.1521851846363
153,-353.1521851846363
154,-353.1521851846363
155,-353.1521851846363
156,-353.1521851846363
157,-353.1521851846363
158,-353.1521851846363
159,-353.1521851846363
160,-353.1521851846363
161,-353.1521851846363
162,-353.1521851846363
163,-353.1521851846363
164,-353.1521851846363
165,-353.1521851846363
166,-353.1521851846363
167,-353.1521851846363
168,-353.1521851846363
169,-353.1521851846363
170,-353.1521851846363
171,-353.1521851846363
172,-353.1521851846363
173,-353.1521851846363
174,-353.1521851846363
175,-353.1521851846363
176,-353.1521851846363
177,-353.1521851846363
178,-353.1521851846363
179,-353.1521851846363
180,-353.1521851846363
181,-353.1521851846363
182,-353.1521851846363
183,-353.1521851846363
184,-353.1521851846363
185,-353.1521851846363
186,-353.1521851846363
187,-353.1521851846363
188,-353.1521851846363
189,-353.1521851846363
190,-353.1521851846363
191,-353.1521851846363
192,-353.1521851846363
193,-353.1521851846363
194,-353.1521851846363
195,-353.1521851846363
196,-353.1521851846363
197,-353.1521851846363
198,-353.1521851846363
199,-353.1521851846363
200,-353.1521851846363
